ทรัฟเฟิล	thráffə̂əw
ตลาดนัดจตุจักร	talàat nát catùcàk
จุฬาฯ	cùlaa
นิดนึง	nít nʉŋ
ก.ย.	kanyaayon
พ.ย.	phrʉ́tsacìkaayon
ภูมิพลอดุลยเดช	phuumíphɔn adùnyadèet
ม.ค.	mákkaraakhom
เม.ย.	meesǎayon
มิ.ย.	míthùnaayon
เช็คอิน	chék in
เช็คเอาท์	chék áw
แฟชั่น	fɛɛchân
บี	bii
เร็วๆนี้	rew rew níi
บรรยากาศ	banyaakàat
ซีฟู้ด	siifúut
ซุป	súp
โปรเจกต์	proocèk
ยีนส์	yiin
เซี่ยงไฮ้	sîaŋháy
เจล	ceew
ยุพราช	yúprâat
พอยท์	phɔ́ɔy
ปชป.	pɔɔ chɔɔ pɔɔ
วอดก้า	wɔ́kkâa
ระยะๆ	ráyá ráyá
ชาร์จ	cháat
เงินเยนขึ้น	ŋən yen khʉ̂n
เนตรนารี	nêetnaarii
เท็มปูระ	thempuurá
ออนแอร์	ɔɔn ɛɛ
นึง	nʉŋ
ล๊อตเตอรี่	lɔ́ɔttəərîi
โพสต์	phóos
เมียนมาร์	mianmaa
แอดมิน	ɛ̀ɛtmin
เอเชียนเกมส์	eechîan keem
เวอร์ชั่น	wəəchân
อนิเมชั่น	anímeechân
อินสตาแกรม	insataakrɛɛm
ม.	mɔɔ
ซูชิ	suuchí
ป่ะ	pá
เซลฟี่	sewfîi
แคลอรี	khɛɛlɔrîi
เมล	meew
เมล์	meew
ดีๆ	di dii
สุดๆ	sùt sùt
รีสอร์ท	riisɔ̀ɔt
โดราเอม่อน	dooraaeemɔ̂n
ดราก้อนบอล	draakɔ̂nbɔɔn
อียิปต์	iiyíp
โปรโมชั่น	proomoochân
เพื่อนๆ	phʉ̂an phʉ̂an
ไอจี	ay cii
แชท	chɛ́t
แฟลชไดร์ฟ	flɛ̀t dáyf
เบลเยียม	beewyîam
โดราเอมอน	dooraaeemɔ̂ɔn
ช้อปปิ้ง	chɔ́ɔppîŋ
ไอโฟน	ayfoon
โซเชียลมีเดีย	soochîaw miidia
แอพพลิเคชั่น	ɛ́ɛfphlíkheechân
ยูทูป	yuuthúup
การติดเชื้อ	kaan tìt chʉ́a
ไทยแลนด์	thaylɛɛn
เซอร์ไพรส์	səəphráy
วีดีโอคอล	wiidiioo khɔɔw
ชาบู	chaabuu
ยูนิโคล่	yuuníkhlôo
บจก.	bɔɔ cɔɔ kɔɔ
วชิราลงกรณ	wátchíraaloŋkɔɔn
ข้อตกลงใช้บริการ	khɔ̂ɔ tòkloŋ cháy bɔɔríkaan
สตาร์บัคส์	sataabák
มีดคัตเตอร์	mîit kháttə̂ə
คาปูชิโน่	khaapuuchínôo
ลูกๆ	lûuk lûuk
ลาซาด้า	laasaadâa
เบาๆ	baw baw
เป๊ปซี่	pép sîi
มหาลัย	mahǎa lay
มั้ง	máŋ
มุก	múk
เมื่อเร็วๆนี้	mʉ̂a rew rew níi
เบสบอล	béesbɔɔn
บาสเก็ตบอล	baaskétbɔɔn
คาราโอเกะ	kaaraaookè
คอม	khɔɔm
ไฟแช็ค	fay chɛ́k
รีโมท	riimòot
ราด	râat
ตรอ.	tɔɔ rɔɔ ɔɔ
ฉลาม	chalǎam
เอ็น	en
เอ็ส	és
แพทยสภา	phɛ̂ɛttháyásàphaa
ไกด์	káy
แชร์ลูกโซ่	chɛɛ lûuk sôo
ป๊า	páa
เนี่ย	nîa
ปลาซาร์ดีน	plaa saadiin
โรฮิงญา	roohiŋyaa
รุก	rúk
แซ่บ	sɛ̂ɛp
ยิม	yim
ซีซัน	siisân
ยีน	yiin
ซีร็อกซ์	siirɔ́k
ดินเนอร์	dinnə̂ə
โควต้า	khwootâa
สคริปต์	sakhríp
นุ่น	nûn
ส.ส.	sɔ̌ɔ sɔ̌ɔ
แบรนด์	brɛɛn
จาการ์ต้า	caakaatâa
กดไลค์	kòt láy
ปูนซีเม็นต์	puun siimen
รพ.	rɔɔ phɔɔ
สมุย	samǔy
แจ้งวัฒนะ	cɛ̂ɛŋwátthaná
ดิจิทัล	dìcìthan
พร้อมพงษ์	phrɔ́ɔm phoŋ
หร่อย	rɔ̀y
ฟิน	fin
ปากกาเมจิก	pàakkaa meecìk
ป.ล.	pɔɔ lɔɔ
แมนยู	mɛɛn yuu
นิวซีแลนด์	niwsiilɛɛn
ไอดอล	aydɔ̂ɔw
บิกินี่	bìkìnîi
หลังๆมานี้	lǎŋ lǎŋ maa níi
ชิบหาย	chíphǎay
พนมเปญ	phanompeen
อัพเดท	àpdéet
พาราลิมปิก	phaaraalimpík
คอนโด	khɔndoo
การก่อสร้าง	kaan kɔ̀ɔ sâaŋ
อีเมล์แอดเดรส	iimeew ɛɛ́tdrées
เนอะ	nə́
พาราเซตามอล	phaaraaseetaamɔɔn
รังสิต	raŋsìt
ลางาน	laa ŋaan
บังกลาเทศ	baŋklaathêet
ดิสนีย์แลนด์	dísniilɛɛn
ลาเต้	laatêe
ไลฟ์	láy
เจลล้างมือ	ceew láaŋ mʉʉ
ปอเปี๊ยะสด	pɔɔ pía sòt
สลิปเงินเดือน	salíp ŋən dʉan
ป.	pɔɔ
ปลาฉลาม	plaa chalǎam
ไอเดีย	aydia
ซีคอนสแควร์	siikhɔɔn sakhwɛɛ
บลูทูธ	bluuthúut
แอนิเมชัน	ɛɛnímeechân
ฟรีแลนซ์	friilɛɛn
รีแลกซ์	riilɛ̀ɛk
แพ็กเกจ	phɛ́kkèet
น้ำซุป	náam súp
อินฟลูเอนเซอร์	influuensə̂ə
โน๊ะ	nó
โฮมสเตย์	hoom satee
แอปพลิเคชัน	ɛ́ɛpphrlíkheechân
ว่างๆ	wâaŋ wâaŋ
ศูนย์การประชุมแห่งชาติสิริกิติ์	sǔun kaan pràchum hɛ̀ŋ châat sìríkìt
อัลลอฮ์	anlɔɔ
ตังค์	taŋ
เช็คบิลล์	chék bin
หมอชิต	mɔ̌ɔchít
เซรั่ม	seerâm
เยาวราช	yawwarâat
งานบริการ	ŋaan bɔɔríkaan
เลขาฯ	leekhǎa
กรุ๊ป	krúp
เฉยๆ	chə̌y chə̌əy
เดท	dèet
มัทฉะ	mátchà
ลุ่ม	lûm
แพนด้า	phɛndâa
เอ๊ย	ə́əy
บลัฟ	bláf
เยน	yen
มิเตอร์	mítə̂ə
ลูกตาล	lûuk taan
สนามไดร์ฟกอล์ฟ	sanǎam dáy kɔ́ɔf
สเตอริโอ	satəərioo
บื้อ	bʉ̂ʉ
แถ	thɛ̌ɛ
บริการซักรีด	bɔɔríkaan sák rîit
บุฟเฟต์	búpfêe
ผัดซีอิ๊ว	phàt siiíw
ชานม	chaa nom
สปา	sapaa
สกอร์	sakɔɔ
แชร์	chɛɛ
แมนชั่น	mɛɛnchân
ชีส	chíis
สวนลุม	sǔan lum
คอมฯ	khɔɔm
ร.ป.ภ.	rɔɔ pɔɔ phɔɔ
พิซซ่า	phítsâa
สปาเกตตี้	sàpaakèettîi
สตรอเบอร์รี	sàttrɔɔbəərîi
นั่นน่ะสิ	nân ná sì
การกิน	kaan kin
ศูนย์บริการ	sǔun bɔríkaan
โอ้โห	ôohǒo
จตุจักร	càtùcàk
ส.ว.	sɔ̌ɔ wɔɔ
เบนซ์	bén
ล็อบบี้	lɔ́bîi
พ.ร.บ.	phɔɔ rɔɔ bɔɔ
จุฬาลงกรณ์	cùlaaloŋkɔɔn
วัดพระเชตุพนวิมลมังคลาราม	wát phrá chèttùphon wímonmaŋkhlaaraam
ยูเทิร์น	yuu thəən
สึนามิ	sʉ̀naamí
เวียงจันทน์	wiaŋcan
แท็บเล็ต	thɛ́plét
ยาคูลท์	yaakhuun
โยเกิร์ต	yookə̀ət
รร.	rɔɔ rɔɔ
แบด	bɛ̀ɛt
ขอบคุณที่ใช้บริการของเรา	khɔ̀ɔp khun thîi cháy bɔrikaan khɔ̌ɔŋ raw
อิสราเอล	ìsaraaeew
คอสเพลย์	khɔ́sphlee
แชมป์	chɛ́m
กรุ๊ปเลือด	krúp lʉ̂at
แคมป์	khɛɛm
จิง	ciŋ
หางานทำ	hǎa ŋaan tham
สาทร	sǎathɔɔn
ปลานิล	plaa nin
ล็อก	lɔ́k
สวิสเซอร์แลนด์	sawíssəəlɛɛn
แอร์พอร์ตลิ้งค์	ɛɛ phɔɔt líŋ
แซบ	sɛ̂ɛp
น่ะ	nâ
สถานีขนส่งหมอชิตใหม่	sathǎanii khǒn sòŋ mɔ̌ɔchít mày
ทูน่า	thuunâa
ข้าวราดแกง	khâaw râat kɛɛŋ
หางาน	hǎa ŋaan
ผงกะหรี่	phǒŋ kàriì
แซลมอน	sɛɛwmɔɔn
ทีมเหย้า	thiim yâw
แกร็บฟู้ด	krɛ̀p fúut
เลเซอร์	leesə̂ə
พท.	phɔɔ thɔɔ
น้ำแข็งไส	námkhɛ̌ŋ sǎy
สลิป	salíp
เซ็ต	sét
เนกไท	nêekthay
เบียร์ลีโอ	bia liioo
เด้อ	də̂ə
ยอดนักสืบจิ๋วโคนัน	yɔ̂ɔt náksʉ̀ʉp cǐw khoonân
อิโมจิ	ìmoocì
ไชน่าทาวน์	chaynâathaaw
ฟิตเนส	fítnèes
เต๊นท์	tén
สกอตช์เทป	sakɔ̀ɔtthéep
กีต้าร์ไฟฟ้า	kiitâa fayfáa
เยลลี่	yenlîi
สแกนจ่าย	sàkɛɛn càay
สมเด็จพระนารายณ์มหาราช	sǒmdèt phránaaraay mahǎarâat
สะทก	sàthók
จี๋	cǐi
ซะ	sá
ฟูลมูน	fuun muun
เหวอ	wə̌ə
ฮอกไกโด	hɔ́ɔkkaydoo
สะบัก	sàbàk
อัฟกานิสถาน	àfkaanísathǎan
บัก	bàk
กดตังค์	kòt taŋ
เอ็นข้อมืออักเสบ	en khɔ̂ɔ mʉʉ àksèep
เมนส์	men
พรฮับ	phɔɔn háp
ลูกข่าง	lûuk khàaŋ
สตง.	sɔ̌ɔ tɔɔ ŋɔɔ
สูน	sǔun
ปลาแอนโชวี่	plaa ɛɛnchoowîi
คอปเตอร์ไม้ไผ่	khɔ̂ɔptəə máay fày
กระฉูด	kràchùut
ยากูซ่า	yaakuusâa
ชิวๆ	chiw chiw
ข้าวราดหน้า	khâaw râat nâa
เซ็นทรัล	senthrân
สะอึก	sà ʉ̀k
โลชั่น	loochân
จั๊กจี้	càkkàcîi
นิคมอุตสาหกรรม	níkhom ùtsǎahàkam
ปูผัดผงกะหรี่	puu phàt phǒŋ karìi
ปอเปี๊ยะ	pɔɔ pía
ศรีราชา	siirachaa
ลาดพร้าว	lâatphráaw
เดอะมอลล์	də̀ mɔɔn
แคปหมู	khɛ̂ɛp mǔu
พลาสเตอร์	pláastə̂ə
ความดันบรรยากาศ	khwaam dan banyaakàat
สะเก็ดแผล	sàkèt phlɛ̌ɛ
มอไซค์	mɔɔsay
โหลด	lòot
อพาร์ทเมนท์	apháatmén
วิน	win
อายิโนะโมะโต๊ะ	aayínómótó
เซลโลเทป	seewloothéep
โออิชิ	ooìchí
ตู้ล็อคเกอร์หยอดเหรียญ	tûu lɔ́kkə̂ə yɔ̀ɔt rǐan
เล่นกล้าม	lên klâam
มัลดีฟส์	mawdíif
มอเตอร์เวย์	mɔɔtə̂əwee
หมอย	mɔ̌ɔy
ไมโล	mayloo
อันปังแมน	anpaŋmɛɛn
เชี่ย	chîa
ทูน่ากระป๋อง	thuunâa kràpɔ̌ŋ
ลูกโทน	lûuk thoon
หอยแมลงภู่	hɔ̌ɔy malɛɛŋ phûu
ชุดไปรเวท	chút praywêet
แก้วมัค	kɛ́ɛw mák
คาซัคสถาน	khaasáksathǎan
อืมม์	ʉʉm
เช็ก	chék
เกียวโต	kiawtoo
มช.	mɔɔ chɔɔ
จุฬาลงกรณ์มหาวิทยาลัย	cùlaaloŋkɔɔn mahǎawítthayaalay
ดองกี้ โฮเต้	dɔɔŋkîihootêe
ซูชิสายพาน	suusí sǎay phaan
ลูกอ๊อด	lûuk ɔ́ɔt
อ่อนนุช	ɔ̀ɔn nút
โฮมโปร	hoom proo
แม่ ก กา	mɛ̂ɛ kɔɔ kaa
ตากุ้งยิง	taa kûŋ yiŋ
เห็ดออรินจิ	hèt ɔɔrincì
มาก่อน	maa kɔ̀ɔn
ไอแพด	ay phɛ̀ɛt
ส.ค.	sǐŋhǎakhom
จี	cii
โปรโมท	proomôot
ดราม่า	daraamâa
ไฟลท์	fláy
ทัชสกรีน	thát sakriin
คอมมิชชั่น	khɔmmítchân
นศ.	nɔɔ sɔ̌ɔ
ฮอต	hɔ̂ɔt
เม้น	mén
ซิลิโคน	silíkhoon
เราเตอร์	rawtə̂ə
ออร์แกนิค	ɔɔkɛník
เมจิก	meecìk
ซีเม็นต์	siimen
รีไซเคิล	riisaykhə̂ən
มหาวชิราลงกรณ	mahǎa wátchíraaloŋkɔɔn
สิรินธร	sìrinthɔɔn
สมูทตี้	samùuttîi
วันคริสต์มาสอีฟ	wan khrísmáas íif
วานิลา	waanílaa
สิริกิติ์	sìríkìt
ร็อก	rɔ́k
ฟอนต์	fɔ́n
ฟิต	fít
โบรชัวร์	broochua
และอื่นๆ	lɛ́ ʉ̀n ʉ̀ʉn
อพาร์ตเมนต์	apháatmén
ก๊อปปี้	kɔ̀ɔppîi
บรอกโคลี	brəəkkhoolîi
กระเจี๊ยบมอญ	krachíap mɔɔn
อาหรับ	aaràp
กะเหรี่ยงคอยาว	kàrìaŋ khɔɔ yaaw
ป๊าด	páat
เพรส	phrées
ทวีปยูเรเชีย	thawîip yuureechia
อาร์กติก	áaktìk
แอนตาร์กติกา	ɛɛntàaktìkâa
ทวีปแอนตาร์กติกา	thawîip ɛɛntàaktìkâa
วิทย์	wít
อาชีวอนามัย	aachiw anaamay
หนุก	nùk
กิมมิค	kimmík
ทวิตเตอร์	tháwíttə̂ə
ผอ.	phɔ̌ɔ ɔɔ
ริกเตอร์	ríktə̂ə
บารากุ	baaraakù
เหยิง	yə̌əŋ
ก.พ.ร.	kɔɔ phɔɔ rɔɔ
กมธ.	kɔɔ mɔɔ thɔɔ
บรูไน	bruunay
แวนคูเวอร์	wɛɛnkhuuwə̂ə
ฮอลแลนด์	hɔɔnlɛɛn
ลอสแองเจลิส	lɔ̂ɔsɛɛŋceelís
ติ่มซำ	tìm sam
โรงบาล	rooŋbaan
ทวิต	thawít
เซฟ	séef
รามฯ	raam
ปาจิงโกะ	paaciŋkò
โพล	phoon
ออเดอร์	ɔɔdə̂ə
วิ	wí
เอกซเรย์	éeksaree
พริตตี้	phrîttîi
คอมเม้นท์	khɔɔmmén
บ.ข.ส.	bɔɔ khɔ̌ɔ sɔ̌ɔ
ชอปปิ้ง	chɔ́ppîŋ
ราชินี	raachínii
รฟท.	rɔɔ fɔɔ thɔɔ
โคลอมเบีย	kholɔɔmbia
แอด	ɛ̀ɛt
สหราชอาณาจักร	sahà râatcha aanaacàk
รองเท้าบู๊ต	rɔɔŋ tháaw búut
ยากำจัดแมลง	yaa kamcàt malɛɛŋ
อัมสเตอร์ดัม	amsatəədam
บ่	bɔ̀ɔ
แจ่วฮ้อน	cɛ̀whɔ́ɔn
สหพรรค	sàhà phák
เอวี	eewii
เทรนด์	thren
ชิบูย่า	chíbuuyâa
โยโกฮาม่า	yookoohaamâa
โรงยิม	rooŋ yim
ดิวตี้ฟรี	diwtîi frii
อัพโหลด	áplòot
ภูเขาฟูจิ	phuukhǎw fuucì
เคาน์เตอร์เช็คอิน	khawtə̂ə chékin
นาริตะ	naarítà
วอร์มอัพ	wɔɔm áp
โรงพยาบาลสมิติเวช	rooŋ phayaabaan samìtìwêet
แก๊สโซฮอล์	kɛ́ɛssoohɔɔ
มาย็องเนส	maayɔŋnèes
บล็อก	blɔ́ɔk
สแกน	sakɛɛn
เอ้า	âw
จ้าวสาว	câw sǎaw
ฟิลเตอร์	fiwtə̂ə
อุตสาหกรรมยานยนต์	ùtsǎahakam yaan yon
ไลฟ์สไตล์	lay satay
มีเดีย	miidia
ฮาโลวีน	haaloowiin
เทควันโด	theekhwandôo
ดิ	dì
ติวเตอร์	tiwtə̂ə
ลาตเท	làatthêe
รอบๆ	rɔ̂ɔp rɔ̂ɔp
คอตตอนบัด	khɔ́ttɔ̂n bàt
ฟู้ดทรัค	fúut thrák
พลั่ว	phlûa
บริการตนเอง	bɔɔríkaan ton eeŋ
โพสอิท	phóosìt
เส้นจันท์	sên can
อุตส่าห์	ùtsàa
คิดตังค์	khít taŋ
พอๆกัน	phɔɔ phɔɔ kan
เศษตังค์	sèet taŋ
ดาต้า	daatâa
ผืน	phʉ̌ʉn
ไดร์เวอร์	daywə̂ə
ราชา	raachaa
เซ็นเตอร์	sentə̂ə
เชฟ	chéef
อายแชโดว์	aaycheedôo
มะระ	márá
กุยช่าย	kuychâay
บวบ	bùap
กาดขม	kàat khǒm
วิสัญญี	wísǎnnii
อ.	ɔɔ
เบตง	beetoŋ
แซนวิช	sɛɛnwít
ด.ต.	dɔɔ tɔɔ
ร.ต.ต.	rɔɔ tɔɔ tɔɔ
ลุมพินี	lumphínii
ไห่	hày
จา	caa
ฉ่อง	chɔ̀ɔŋ
ไนต์	náy
เค	khee
โค้ต	khóot
สถิต	sathìt
เก๊ะ	ké
สสว.	sɔ̌ɔ sɔ̌ɔ wɔɔ
โจ๋	cǒo
พลฯ	phon tamrùat
ร.ต.ท.	rɔɔ tɔɔ thɔɔ
เอนเนอจี	eennəəcîi
พรรคประชาธิปัตย์	phák pràchaathípàt
บรรทัด	banthát
แพคเกจ	phɛ̂ɛkkèet
เลขาธิการ	leekhǎathíkaan
พนง.	phanákŋaan
พรีเมี่ยม	phriimîam
เพจ	phéet
วัดพระศรีรัตนศาสดาราม	wát phrásǐi ráttanasǎasadaaraam
มูลนิธิป่อเต็กตึ๊ง	muunlaníthí pɔ̀ɔ tèk tʉ́ŋ
แฟล็ช	flɛ́ɛt
ไข่มะตูม	khày mátuum
รธน.	rɔɔ thɔɔ nɔɔ
ม็อบ	mɔ́ɔp
สตช.	sɔ̌ɔ tɔɔ chɔɔ
ธ.ก.ส.	thɔɔ kɔɔ sɔ̌ɔ
ต่อๆไป	tɔ̀ɔ tɔ̀ɔ pay
เล็กๆน้อยๆ	lék lék nɔ́ɔy nɔ́ɔy
ปีนี้	pii níi
พะงัน	pháŋan
แคปชั่น	khɛ̂ɛpchân
แผนกอายุรกรรม	phanɛ̀ɛk aayúrakam
อิน	in
บ้าๆบอๆ	bâa bâa bɔɔ bɔɔ
โมร็อกโก	moorɔ́kkôo
ทริป	thríp
ก๊อซ	kɔ́ɔs
ป๊อบ	pɔ́p
ฟอลโล่	fɔɔwlôo
แว๊กซ์ใส่ผม	wɛ́k sày phǒm
ไอร์แลนด์	aylɛɛn
ซะก่อน	sá kɔ̀ɔn
ชานชลา	chaan chálaa
เม้าท์	máw
คิม จอง-อึน	khim cɔɔŋ ʉn
ตากสิน	tàaksǐn
โกเบ	koobee
ชิล	chiw
หนุ่มๆสาวๆ	nùm nùm sǎw sǎaw
การประชุมทางโทรศัพท์	kaan pràchum thaaŋ thoorasàp
แพ็คเกจ	phɛ́kkèet
พระจุลจอมเกล้าเจ้าอยู่หัว	phrá cunlacɔɔm klâaw câw yùu hǔa
ปลาแซลมอน	plaa sɛɛwmɔɔn
บริการเสริม	bɔɔríkaan sə̌əm
มหิดล	mahìdɔɔn
ทัวร์นาเมนต์	thuanaamén
แจ๊ส	cɛ́ɛs
โฮจิมินห์	hoocìmin
สูตินรีแพทย์	sǔutìnarii phɛ̂ɛt
วอล์คกิ้งสตรีท	wɔ́ɔkkîŋ satrìit
โอย	ooy
ห้องสวีท	hɔ̂ŋ sawíit
ไฮเนเก้น	hayneekên
ออทิสติก	ɔɔthístìk
แฮตทริก	hɛ́ɛtthrík
ทำเล็บ	tham lép
แงม	ŋɛɛm
บักกุ๊ดเต๋	bàkkúttěe
อภิเษกสมรส	aphísèek sǒmrót
ฌ็องเซลิเซ	chɔ́ŋseelísee
เศรษฐ	sèet
มาตร	mâat
แดฟโฟดิล	dɛɛffoodin
ทัศน์	thát
นิเทศศาสตร์	nítthêet sàat
อาชีว	aachiw
สิทธัตถะ	sìtthátthà
ศุภ	sùppha
สุริย	sùríya
ศรส.	sɔ̌ɔ rɔɔ sɔ̌ɔ
กสิ	kasì
วัจนภาษา	wátcana phaasǎa
อภิ	aphí
ผักโขม	phàk khǒom
อุด้ง	ùdôŋ
ไฮไลต์	hayláy
คลาส	khláas
จิตกาธาน	cìttakaathaan
กิงก่องแก้ว	kiŋ kɔ̀ŋ kɛ̂ɛw
สา	sǎa
เหอะ	hə̀
เถลิง	thalə̌əŋ
เชี้ยเอ้ย	chîa ə̂əy
ฉันเพล	chǎn pheen
กิก	kìk
ชาดำ	chaa dam
กุก	kùk
โยธาธิการ	yoothaathíkaan
ทูม	thuum
ฮีล	hiiw
ค้าบ	kháap
รงค์	roŋ
ซำบาย	sambaay
พิซซ่าญี่ปุ่น	phíssâa yîipùn
โพธิ์	phoo
ไฟลต์	fay
ดาวน์โหลด	daawlòot
พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว	phrábàat sǒmdèt phrá wachiraklâaw câw yùu hǔa
บอท	bɔ̀ɔt
ติกถูก	tìk thùuk
เบรกเกอร์	brèekkə̂ə
ทาวน์เฮ้าส์	thaawháw
แทรกเตอร์	thrɛɛktə̂ə
แกลเลอรี	kɛɛwləərii
วินเทจ	winthèet
เซเว่น	seewên
บริพาร	bɔríphaan
ฉับ	chàp
เจี๊ยะกอ	cíakɔɔ
เถล	thalěe
หัตถ	hàt
วิสาห	wísǎahà
อุณหะ	unhà
แมคโดนัลด์	mɛ́ɛkdoonáw
ออสการ์	ɔɔskâa
โยคะ	yookhá
โซล	soow
ไลค์	láy
เปาะเปี๊ยะ	pɔ̀ pía
เซนเซอร์	seensə̂ə
บาร์อะโกโก้	baa à koo kôo
รถเครน	rót khreen
จิ๊กซอว์	cíksɔɔ
สกรีน	sàkriin
หอการค้า	hɔ̌ɔ kaan kháa
บางแค	baaŋkhɛɛ
สกอ.	sɔ̌ɔ kɔɔ ɔɔ
แฮปปี้	hɛ́ɛppîi
มะไฟ	máfay
มัลดีฟ	mawdíif
แคมเปญ	khɛɛmpeen
สัตว์สะเทินน้ำสะเทินบก	sàt sàthəən náam sàthəən bòk
ฮ้าบ	háap
วันวิสาขบูชา	wan wísǎakhabuuchaa
กว่าๆ	kwàa kwàa
อัลกุรอาน	ankunraaaan
อ๊วก	ûak
เอ็ม	em
ฝั่งธน	fàŋ thon
เริ่ด	rə̂ət
ฟลุ๊ค	flúk
สลับ	salàp
งั้นๆ	ŋán ŋán
แม็ก	mɛ́k
วันๆ	wan wan
ไหนๆก็	nǎy nǎy kɔ̂ɔ
หมูๆ	mǔu mǔu
ซะหน่อย	sánɔ̀y
ดอยสุเทพ	dɔɔysùthêep
สุรวงศ์	sùrawoŋ
เหยี่ยว	yìaw
พาร์ทเนอร์	phaatnə̂ə
สภาฯ	saphaa
ปอยเปต	pɔɔypèt
ตชด.	tɔɔ chɔɔ dɔɔ
จ.ว.	cɔɔ wɔɔ
เย็นตาโฟ	yentaafoo
ซะอีก	sá ìik
มาเก๊า	maakáw
แก๊งค์	kɛ́ŋ
มีนบุรี	miinbùrii
ถือสาย	thʉ̌ʉ sǎay
เสียเซลฟ์	sǐa seew
งูๆ ปลาๆ	ŋuu ŋuu plaa plaa
เม้าท์มอย	máwmɔɔy
นู้บ	núup
อ่ะ	à
สธ.	sɔ̌ɔ thɔɔ
ฟาวล์	faaw
อัลไล	anlay
ชิว	chiw
ก๊อป	kɔ́ɔp
ตู้คอนเทนเนอร์	tûu khɔntheenə̂ə
คอนเทนเนอร์	khɔntheenə̂ə
ทูพีช	thuu phîit
วิภาวดี	wíphaawadii
ไรงี้	ray ŋíi
ซิทคอม	sít khɔɔm
ออสซี่	ɔɔ́ssîi
เคานท์ดาวน์	khawdaaw
เวอร์	wə̂ə
รถโฟร์คลิฟ	rót fook líf
เฉิ่ม	chə̀əm
